song id, 歌曲名, 艺术家
31814248,The Silence (feat. Crywolf & Aylen),PAZ/Crywolf/Aylen
33516174,Foxfire,J.G.F.
38391241,Nemesis,Z.Λ.R.B/Jeshikka
36492255,Let Go,Skyvoice
30512731,Blank,Disfigure
31152371,Hollah!,Disfigure
400689172,The Fall (Greg Wonders Remix),Greg Wonders/Jeremy Vancaulart/Amy Kirkpatrick
40915419,Follow You (Drakonic Remix),Venemy/AYANA/Drakonic
400690439,Hope,Danny Chen
401250551,Falling (Original Mix),Last Heroes
401386178,Radiant,Eckoh/Jason Poulin
399341211,Moonlight,Robert Chacón
41630151,15k (Skrux Remix),Skrux/Bone n Skin
403012338,Disarm You (Ryos vs. Slywalker Remix),Ryos/Kaskade/Ilsey/Slywalker
41662352,Away From Me (Equalize Remix),Equalize/Karina/Ratfoot
41662351,Forever,Equalize
403012360,Forever,Mataio/Danyka Nadeau
403012380,Let You Go (Evan Berg Remix),Evan Berg/The Chainsmokers
403136315,Wide Eyed (Original Mix),TBMA
36587473,Lily (Original Mix),Ziu
31452072,So Help Me,ParanorM̶e̶o̶w̶
401249527,Artifice,Biscoln
35920241,Skyfire (King Trimble Remix),King Trimble
404783353,Stay (Ehallz & Send Off Remix),Ehallz/Yeahright!/Azuria Sky/Send Off
32574830,Guardian,Ziu
28574951,Ninja step (Original Mix),ゆよゆっぺ
400689373,Forgotten Wilderness,Avicta
38679396,Children ( Nightex Remix ),Nightex/Robert Miles
41672675,Fell Down,Tut Tut Child/Holly Drummond
36496246,Black Garden,Skyvoice
36270565,The Fire Inside (Original Mix),Outwild/Josh Ford
33419552,Limelight(Inukshuk Remix),Just A Gent/Outwild
36095158,Mr. Brightside (Inukshuk Remix),Outwild/The Killers
36872362,Nova,Breathing Heavily
35920249,sonder (Erio Remix),Erio
41630148,Universe (Mashup),Skrux
35497820,Could It Be (Stratophonic Remix),Raine/Stratophonic
37988022,Good Luck,A Lightning
37955156,Out of Time [BH Remix],Vicky D/John Marcus/BH
37096000,The Worlds We Discovered (Matthew Parker Remix),Matthew Parker/Twilight Meadow
32803516,Diviner (Original Mix),X-Wise
39224445,Surpass (Polarr Remix),Polarr/Resonance
36308624,Slipping Away,DJ Swoon/Michael Herrera
36103575,Stay,Dr. Deimos/Cloudkicker
38019487,Tonight (Original Mix),Beatcore
400690301,Colors (Xan Griffin Remix),Xan Griffin/Minnesota
36025584,Home,Elliot Berger/Notelle
36308588,Quasar,Piece Of Meat/Laura Leaves
38019460,Forever,Beatcore/Mr. Welch
33233124,Into My Eyes,Mr. Welch
401250241,Stay The Night (The Machinist Remix),The Machinists/Zedd/Hayley Williams
399340469,Cold Without You,Waking Dreams
39436032,Dreamcatcher (Cherney Remix),Lyon/Sokko
37092497,Fall A Thousand Times (Color Source Remix),Color Source/Crystal Skies
32823992,Hope (Original Mix),DJ OneSound
403012606,Hope (Original Mix),Toothpick
28493036,Drizzle,Shandy kubota
28493040,First Rain,Shandy kubota
403012334,Fortress,ILLENIUM/Joni Fatora
26978189,Monster (DotEXE Remix),Meg & Dia/Dia Frampton/DotEXE
38019045,Undertale (Chime Remix),Chime/Toby Fox
36586534,Reminiscence,Lucienmusique
40915414,Move On,Hyler
36095094,Get You,Dr. Deimos
33785092,Horizon,Leviathan
36308898,You Are The Sun (Electus Remix),Electus/Sean Mackey
36190117,Amazing,Shaper
38392599,Floating (Full Version),Andreas B.
41416554,Zephyr (Original Mix),Chime/Mona Moua
35956770,Colors,FutureFox/Mona Moua
35497892,Fly Away Home (Sam Shepherd Remix),Sam Shepherd/FutureFox/Mona Moua
31246686,Bittersweet,Ricky Mears/Mona Moua
399552412,Follow You (Sceptrum Remix),Sceptrum/Au5
39443015,Pluviophile,Teddy
33984103,Dark Skies,Stepcat/Kalika
36841543,Say Goodbye,Skyvoice/Noctilucent
35625252,Secrets,Jusplay/Mona Moua
36089839,Demons feat. Gia Margaret (Original Mix),Dabin/Gia Margaret
33391788,Lost Soul,West District/Mona Moua
37202079,Never Give Up,A Lightning
36307563,Utopia,Xanwow
35956768,Beyond Life,BH/Mr. Welch
32574124,From Another Earth (Original Mix),Sphericz
32717866,What If..?,Sphericz
32574129,Christmas (Original Mix),Sphericz
36024653,Neoheartbeats,Synx
35314190,Feel So Numb,Xhanto
37095453,Raw,Minnesota
37853754,The Worlds We Discovered (Divinity Remix),Divinity/Twilight Meadow
37853752,Dreams Of Colors,Dimatis
36496619,Horizon,Skinny Guy
32574644,Spirit Of Things,Noise Killerz/Mona Moua
36307669,I'm Still Here,Tim Bryant/Yoe Mase
33314044,Collide,Skrux/Bone n Skin/Duelle
34723378,Thoughts (Original Mix),Sphericz
32717163,Moondust,Nyte
34723620,Counting Down The Days (Noise Killerz Remix),Noise Killerz
33255795,Jam With You (Piece Of Meat Remix),Piece Of Meat/Jerry Jaye/Iveta
32823942,Aporìa's walls,Elpis
36308593,Atmosphere,Music Predators
453176789,Freeze Time (Inukshuk Remix),Outwild/Manse/Alive Berg
422960477,Our Journey,Crystal Skies/Ashley Apollodor
410628564,Emotional (BEATCORE Remix),Beatcore/Flux Pavilion/Matthew Koma
32574860,Aletheia's Lullaby,Elpis
39956107,Fired Up (Synchronice Remix),Kayzo/Synchronice/Nina Sung
31452489,"Oceans, Pt. II",Crywolf/Ianborg
36024611,Want To Be,Bayble/Holly Drummond
409647145,Demon Days (BH Remix),BH/Wild Wild Horses
412187994,Mercury,NGC 3.14/Aeriys
417250284,Adventure,Equalize
409647632,Dreaming,Equalize
403136257,Nightsky,Equalize
411907267,Never Forget,Equalize/Surface
412175408,Elevate,Equalize/Shwin
417833544,Astral,Fadent
30431672,Run Away,Fareoh
399340177,Ghosts (Dixon Remix),Feenixpawl/Melissa Ramsay
407459144,Ordinary Lies (Biscoln Remix),Covex/Enzalla/Biscoln
411921342,Fall Into Me (Last Heroes x Biscoln Remix),Last Heroes/Biscoln/Arrient/Evoke
38679399,Spirits,Vorsa
400689466,Time and Space,Mataio/Toddzilla
412187974,We Had It All,Johnny Third/See
412902030,Birthplace,Mokksy
37856712,Campfire Anthem (Four Eyes Remix),Revive Us/Four Eyes
409060870,The Garden of Imperfections (Erio Remix),Erio/Miro/Q'AILA
410518583,Desire,Antent/AYANA/TNAN
410519578,Remembering Myself (William Black Remix),William Black/Stephen
410629828,Tonight We Live,Luna
410055760,Fall Into Me,Arrient/Evoke
399341219,Nightwalker,Emmanuel Cassiers
37988126,Persistence,Madza
399340466,Paradiso,Dead Gravity
30951467,Feelings,JPB/Mendum
31260954,Dream,Drop Tower/Martin Luther King Jr.
412187169,Triad,Egzod
411214217,Darkness,Catas/Reeck
411315864,All Along,Vorsa
412187223,Danger,Z.Λ.R.B/Stephanie Kay
412175203,Holland (Inukshuk Remix),Outwild/Glass Face
410518558,Fallen Memories,Sceptrum
409647524,Found (VIP),2 Senses
32574663,We Are One (Noise Killerz Remix),Noise Killerz/Krewella
410802809,Thundersound,Bass Farmers/VMP/Terrain
410802806,Fall Into Me (Chettar Remix),Chettar/Arrient/Evoke
34723926,Hide (Sex Whales Remix),Anna Yvette/Spag Heddy/Whales
407459174,Rain,Sacred
32737758,Our Madness,Blure/Car.
31452405,Sirin,Class-x
406346935,Destiny,Zyphen
40915416,Haze,Drakonic
37095770,Everything About You (Sauniks Remix),Sauniks/The Blizzard & Yuri Kane
406330097,Heaven (Party Pvffs Remix),Party Pvffs/KSHMR/Shaun Frank
408055387,Despair (Original Mix),Dreamcather
406737964,Feels (Jai Wolf Remix),Jai Wolf/Kiiara
405597766,Night Travels,Mintorment
38679822,With You (Noise Killerz Remix),Noise Killerz/Dirty South
405599203,Transmission (Elder Planet Remix),Elder Planet/Dritic/Vextacy
406072148,Colour,Etti
406730204,Feelings (feat. Kelis),Kelis/Z.Λ.R.B
37955154,Fade (Espenz Remix),Espenz/Holly Drummond
405987445,Dead in Dull (Original Mix),Puls Garney
403710452,Devils Sap,ProtosoniX
401382181,Crying Soul (Original Mix),DubTeddy/NIRI
39227966,Blazers (Original mix),Cartoon
36089312,Spitting Fire,Ryan Exley
407002829,We Are From The Future,High Massive/Osanzi
32924099,Tears,KTSG
31680358,Eye Of The Storm,The Paragon Axis/Laura Hahn
38019009,Panic (Eckoh Remix),Eckoh/Phantom Sage/Detrac
41650520,Augury,Dimatis
38391780,Metropolis,Nyte
406737301,Among The Stars,Sacred
35497624,The Awakening,Silencyde/KISNOU
406330129,Beautiful Day (Resonance Remix),Resonance/Misael Gauna
400689469,Who Do U Think U Are (feat. Molly Williams),Nicky Boy
31654299,Over Again (Remix),T-Mass/Lisa Rowe/Culture Code
403136280,Give Me Your Love (Vocal Remix),Lucienmusique
39443390,Puru - Homura (SprightS Remix),Puru/SprightS
33166711,Portal,J.G.F.
36271387,How You Love Me (Espenz Remix),Espenz/3LAU/Bright Lights
406316215,You & I (Killa Hurts Remix),INF1N1TE/Killa Hurts
36025622,Time is the Enemy,Synx/SharM
405372753,Nothing Yet,haven
406346986,Mechaheart,Synx
406347929,Shock,Nardis
28530596,Break The Heart,Chrillmix
38019790,Oblivion (Original Mix),Dreamcather
38018782,Winds (Original Mix),Dreamcather
38019791,Shades (Original Mix),Dreamcather
403012383,Mere Moment,The Real Viper
406086015,Fade,Etti/Sacred
406086021,I Am (Original Mix),Outwild
405597912,I'm Over It,DownFlex/Valoriz
405597856,New Beginnings (Full Version),Andreas B.
405597764,Sleep,Kozmoz/Liquid Memoirs
405599640,Can't Stay,Equalize
404783347,Look to the Stars,Thomas Hood/Synthis
405079951,These Days,West District
30569017,The Edge,Electro-Light/Kathryn MacLean
39227584,Sands Of TIme,Exogenesis
1388165542,Never Be Alive,Beatcore
1388165536,Come Too Far,Beatcore/Ashley Apollodor
1419442657,Don't Forget Me,Sullivan King/Wooli
523046088,Missin' U,Floatinurboat
1403013137,Hateful Love,Floatinurboat
461080426,Broken (Fadent & Soar Remix),Fadent/atlas/Floatinurboat/Soar
427373450,Monody (Floatinurboat Remix),Floatinurboat
410518497,Spirit Of Things,Floatinurboat/Mona Moua
1354670936,Cosmic,Parousia
1342052837,Forever More (feat. Sky Roses),Afterlite/Sky Roses
447076169,Monody (Last Heroes x Mynerva Remix),Last Heroes/TheFatRat/Laura Brehm/Mynerva
1416675107,Silver Lining (feat. KARRA),ARMNHMR/Karra
1416675104,The Universe Is Yours (feat. Micah Martin),ARMNHMR/Micah Martin
1416675100,Bulletproof,ARMNHMR
1416675099,Forever Young (feat. Melanie Fontana),ARMNHMR/Melanie Fontana
1418381607,One That Got Away,Jason Ross/Dabin/Dylan Matthew
1418381612,Letting Go,Jason Ross/RUNN
1388845089,Darkside,Parousia/CATCHTAIL/Spaceport Records
424477862,Terms and Conditions (Crystal Skies Remix),Color Source/Crystal Skies/Ashley Apollodor
1419448378,Body Back (MitiS Remix),Gryffin/Maia Wright/MitiS
1383780261,LA Never Says Goodbye,Kayzo/ARMNHMR/Kyle Pavone
36190665,Fire Inside (Sauniks Remix),Sauniks/Gemini/Greta Svabo Bech
1410775641,Here With Me (feat. Nevve),ARMNHMR/Nevve
408055097,Fade (Sunday Service Remix),$unday $ervice/Adventure Club/Zak Waters
1382366117,Turns To Dust (Ryan Exley Remix),Sound Surfer/Verso/Ryan Exley
553815184,Eclipse,Burgess/JESSIA
1418381606,When The Night Falls,Jason Ross/Fiora
446508126,Far Away,Ento/Bao The Whale
1415736301,One That Got Away (with Dylan Matthew),Jason Ross/Dabin/Dylan Matthew
1415736300,1000 Faces (with Dia Frampton),Jason Ross/Dia Frampton
1321597315,Without Me (Nurko & Miles Away Remix),NURKO/Miles Away/Halsey
451701396,High Tide (Nurko Remix),NURKO/Creaky Jackals/WILD
1418381609,Shelter,Jason Ross/Melanie Fontana
1403700764,Flatline (feat. Calivania),Blanke/Calivania
1405248539,Over You (feat. Lena Leon),Wooli/Lena Leon
1400369392,Mercy,MitiS/glasscat
1365711550,Unspoken,Oliverse/Elle Exxe
1401179677,Feels Right (feat. RUNN),Crystal Skies/RUNN
1401899906,Phoenix (Blanke Remix),英雄联盟/Blanke
